,API_NUMBER,LATITUDE,LONGITUDE
116060,120190042100.0,40.10583,-88.304812
116538,120192160200.0,40.325053,-88.395245
116540,120190056200.0,40.361195,-88.345771
116690,120192464400.0,39.901187,-88.001928
117324,120190000800.0,39.951479,-88.069752
117495,120190041900.0,40.109067,-88.293531
124321,120190143700.0,39.949394,-88.142266
125437,120190075000.0,40.263459,-88.4273
125438,120190075100.0,40.263757,-88.418138
125439,120190075200.0,40.255952,-88.427265
125440,120190075300.0,40.27078,-88.427169
125441,120190075400.0,40.27109,-88.436874
125442,120190076200.0,40.278384,-88.426684
125443,120190076300.0,40.260112,-88.402057
125444,120190076400.0,40.252801,-88.430911
125445,120190076500.0,40.252969,-88.422927
125446,120190076600.0,40.278302,-88.399086
125447,120190092700.0,40.06747,-87.982615
125448,120190096600.0,40.168086,-88.295485
125449,120190098600.0,40.098443,-88.254875
125450,120190101200.0,40.106664,-88.208928
125451,120190118100.0,40.26375,-88.408322
125452,120190118500.0,40.256145,-88.4187
125453,120190120500.0,40.266985,-88.418701
125454,120190120600.0,40.256297,-88.407254
125455,120190120700.0,40.263395,-88.422334
125456,120190120800.0,40.271643,-88.400286
125457,120190126400.0,40.256474,-88.436723
125458,120190127700.0,40.270747,-88.445998
125459,120190127800.0,40.278397,-88.44109
125460,120190127900.0,40.259761,-88.441971
125461,120190129000.0,40.264139,-88.446501
125462,120190129200.0,40.267562,-88.436661
125463,120190129300.0,40.260104,-88.42764
125464,120190129800.0,40.2524,-88.412638
125465,120190131200.0,40.255733,-88.423454
125466,120190132100.0,40.270739,-88.423034
125467,120190133700.0,40.289407,-88.403234
125468,120190133800.0,40.278048,-88.435705
125469,120190133900.0,40.295952,-88.403794
125470,120190134000.0,40.275003,-88.441116
125471,120190134100.0,40.274981,-88.417632
125472,120190134200.0,40.262683,-88.398865
125473,120190137500.0,40.278517,-88.422849
125474,120190137600.0,40.267568,-88.440721
125475,120190137700.0,40.282054,-88.442054
125597,120190137800.0,40.267433,-88.451347
125598,120190138400.0,40.282007,-88.39479
125599,120190138700.0,40.274721,-88.451353
125600,120190139500.0,40.296172,-88.394449
125601,120190141100.0,40.086557,-88.094899
125602,120190141400.0,40.248765,-88.417993
125603,120190141500.0,40.248804,-88.427224
125604,120190142500.0,39.882681,-88.297238
125605,120190144100.0,40.268661,-88.394782
125606,120190144200.0,40.271051,-88.413381
