,API_NUMBER,LATITUDE,LONGITUDE
37065,120010046800.0,39.931445,-90.953907
37066,120010046900.0,39.914006,-90.922854
37067,120010047200.0,39.93284,-90.923022
37068,120010048600.0,39.940282,-90.934856
37069,120010048700.0,39.929394,-90.946779
37070,120010048900.0,39.914897,-90.91881
37071,120010049000.0,39.90151,-90.918245
37072,120010049200.0,39.868712,-91.239345
37073,120010049500.0,39.901782,-90.932271
37074,120010049600.0,39.927736,-90.939223
37192,120010049700.0,39.915734,-90.920086
37193,120010049900.0,39.906812,-90.918044
37194,120010050100.0,39.928703,-90.941667
37195,120010050200.0,39.926607,-90.924175
37196,120010050300.0,39.787618,-90.934024
37197,120010050600.0,39.919293,-90.929607
37198,120010050700.0,39.789467,-90.931647
37199,120010050800.0,39.757965,-90.955206
37200,120010050900.0,39.780354,-90.922055
37201,120010051000.0,39.917458,-90.93205
37202,120010051600.0,40.100684,-91.037697
37203,120010061000.0,40.05903,-91.37037
37204,120010051900.0,40.135717,-90.964127
37205,120012193200.0,39.873221,-91.169621
37206,120012193300.0,39.87364,-91.193473
37207,120012193500.0,39.828688,-90.920108
37208,120012193600.0,39.830505,-90.920126
37209,120012193700.0,39.828778,-90.917714
37210,120012193800.0,39.826867,-90.920085
37211,120010052400.0,39.931081,-90.930149
37212,120010052500.0,39.929384,-90.944148
37213,120010052600.0,39.835168,-90.984136
37214,120010052700.0,39.82085,-90.962648
37215,120010053100.0,39.931384,-90.945619
37216,120010053200.0,39.927656,-90.929244
37217,120010053600.0,39.833349,-90.979304
37218,120010055200.0,39.831529,-90.976913
37219,120010055300.0,39.938296,-90.920587
37220,120010055400.0,39.835177,-90.972163
37221,120010055500.0,39.820604,-90.965156
37222,120010055600.0,39.933304,-90.949295
37223,120010055700.0,39.927814,-90.944158
37224,120010055900.0,39.825757,-91.142863
37225,120010056100.0,39.887733,-91.279662
37226,120010056300.0,39.910469,-90.946976
37227,120010056600.0,39.917375,-90.932056
37228,120012194301.0,39.785412,-90.99098
37229,120012194900.0,39.964421,-90.956504
37230,120012195100.0,40.112929,-90.923981
37231,120012195500.0,39.934146,-91.192561
37348,120012196200.0,39.910644,-90.961009
37349,120012196300.0,39.903887,-90.963226
37350,120012196500.0,39.910755,-90.967893
37351,120012196700.0,39.898193,-90.932334
37363,120010054100.0,39.818797,-90.94379
37364,120010057000.0,39.820869,-90.941395
37365,120010058000.0,39.813543,-90.929426
37366,120010058400.0,39.809744,-90.929405
37367,120010052100.0,39.833598,-91.079019
37368,120010053800.0,39.837436,-91.119414
37369,120010050400.0,39.806384,-91.07804
37370,120010053000.0,39.804177,-91.126272
37371,120010074400.0,40.055398,-90.917553
37378,120010071400.0,39.949292,-90.925236
